,symbol,exchange,type,organ_short_name,organ_name,product_grp_id
698,PGV,HSX,STOCK,Tổng Công ty Phát điện 3,Tổng Công ty Phát điện 3 - Công ty Cổ phần,STO
699,PGT,HNX,STOCK,PGT Holdings,Công ty Cổ phần PGT Holdings,STX
700,PGS,HNX,STOCK,Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,STX
701,PGN,HNX,STOCK,Phụ Gia Nhựa,Công ty Cổ phần Phụ Gia Nhựa,STX
702,PGI,HSX,STOCK,Bảo hiểm PJICO,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,STO
703,PGD,HSX,STOCK,PV GAS D,Công ty Cổ phần Phân phối khí thấp áp dầu khí Việt Nam,STO
704,PGC,HSX,STOCK,Gas Petrolimex,Tổng Công ty Gas Petrolimex - Công ty Cổ phần,STO
705,PGB,UPCOM,STOCK,PG Bank,Ngân hàng Thương mại Cổ phần Thịnh vượng và Phát triển,UPX
706,PFL,UPCOM,STOCK,Dầu khí Đông Đô,Công ty Cổ phần Dầu khí Đông Đô,UPX
707,PET,HSX,STOCK,Dịch vụ Tổng hợp Dầu khí,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,STO
708,PEQ,UPCOM,STOCK,Thiết bị xăng dầu Petrolimex,Công ty Cổ phần Thiết bị xăng dầu Petrolimex,UPX
709,PEN,HNX,STOCK,Xây lắp III Petrolimex,Công ty Cổ phần Xây lắp III Petrolimex,STX
710,PEG,UPCOM,STOCK,TM Kỹ thuật và Đầu tư (PETEC),Tổng Công ty Thương mại Kỹ thuật và Đầu tư - Công ty Cổ phần,UPX
711,PEC,UPCOM,STOCK,Cơ khí Điện lực,Công ty Cổ phần Cơ khí Điện lực,UPX
712,PDV,UPCOM,STOCK,Vận tải Phương Đông Việt,Công ty Cổ phần Vận tải và Tiếp vận Phương Đông Việt,UPX
713,PDT,DELISTED,STOCK,,,
714,PDR,HSX,STOCK,BĐS Phát Đạt,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,STO
715,PDN,HSX,STOCK,Cảng Đồng Nai,Công ty Cổ phần Cảng Đồng Nai,STO
716,PDC,UPCOM,STOCK,Dầu khí Phương Đông,Công ty Cổ phần Du lịch Dầu khí Phương Đông,UPX
717,PDB,HNX,STOCK,DIN Capital,Công ty Cổ phần Tập đoàn Đầu tư DIN Capital,STX
718,PCT,HNX,STOCK,Vận tải Biển Global Pacific,Công ty Cổ phần Vận tải Biển Global Pacific,STX
719,PCN,DELISTED,STOCK,Dầu khí DMC-Miền Bắc,Công ty Cổ phần Hóa phẩm dầu khí DMC - Miền Bắc,
720,PCM,UPCOM,STOCK,VLXD Bưu điện,Công ty Cổ phần Vật liệu Xây dựng Bưu điện,UPX
721,PCH,HNX,STOCK,Nhựa Picomat,Công ty Cổ phần Nhựa Picomat,STX
722,PCG,UPCOM,STOCK,Đầu tư PT Gas Đô thị,Công ty Cổ phần Đầu tư Phát triển Gas Đô thị,UPX
723,PCF,UPCOM,STOCK,Cà phê PETEC,Công ty Cổ phần Cà phê PETEC,UPX
724,PCE,HNX,STOCK,Phân bón và Hóa chất DK Miền Trung,Công ty Cổ phần Phân bón và hóa chất dầu khí Miền Trung,STX
725,PCC,UPCOM,STOCK,Xây lắp 1- Petrolimex,Công ty Cổ phần Tập đoàn Xây lắp 1 - Petrolimex,UPX
726,PC1,HSX,STOCK,Tập đoàn PC1,Công ty Cổ phần Tập đoàn PC1,STO
727,PBT,UPCOM,STOCK,Bao bì và TM Dầu khí Bình Sơn,Công ty Cổ Phần Bao bì và Thương mại Dầu khí Bình Sơn,UPX
728,PBP,HNX,STOCK,Bao bì Dầu khí VN,Công ty Cổ phần Bao bì Dầu khí Việt Nam,STX
729,PBC,UPCOM,STOCK,Dược Phẩm TW 1- Pharbaco,Công ty Cổ phần Dược Phẩm Trung ương 1 - Pharbaco,UPX
730,PAT,UPCOM,STOCK,Phốt pho Apatit Việt Nam,Công ty Cổ phần Phốt pho Apatit Việt Nam,UPX
731,PAS,UPCOM,STOCK,Quốc tế Phương Anh,Công ty Cổ phần Quốc tế Phương Anh,UPX
732,PAP,UPCOM,STOCK,Cảng Phước An,Công ty Cổ phần Dầu khí đầu tư khai thác Cảng Phước An,UPX
733,PAN,HSX,STOCK,Tập đoàn PAN,Công ty Cổ phần Tập đoàn PAN,STO
734,PAI,UPCOM,STOCK,"CNTT, VT và Tự động hóa Dầu khí - PAIC","Công ty Cổ phần Công nghê thông tin, Viễn thông và Tự động hóa Dầu khí",UPX
735,PAC,HSX,STOCK,Pin Ắc quy Miền Nam,Công ty Cổ phần Pin Ắc quy Miền Nam,STO
736,ORS,HSX,STOCK,Chứng khoán Tiên Phong,Công ty Cổ phần Chứng khoán Tiên Phong,STO
737,OPC,HSX,STOCK,Dược phẩm OPC,Công ty Cổ phần Dược Phẩm OPC,STO
738,ONW,UPCOM,STOCK,Dịch vụ Một Thế giới,Công ty Cổ phần Dịch vụ Một Thế giới,UPX
739,ONE,HNX,STOCK,Truyền thông Số 1,Công ty Cổ phần Công nghệ ONE,STX
740,OIL,UPCOM,STOCK,PV Oil,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,UPX
741,OGC,HSX,STOCK,Tập đoàn Đại Dương,Công ty Cổ phần Tập đoàn Đại Dương,STO
742,ODE,UPCOM,STOCK,Tập đoàn Truyền thông và Giải trí ODE,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,UPX
743,OCH,HNX,STOCK,Khách sạn và Dịch vụ OCH,Công ty Cổ phần One Capital Hospitality,STX
744,OCB,HSX,STOCK,Ngân hàng Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,STO
745,NXT,UPCOM,STOCK,SX và Cung ứng VLXD Kon Tum,Công ty Cổ phần Sản xuất và Cung ứng vật liệu xây dựng Kon Tum,UPX
746,NWT,UPCOM,STOCK,Vận tải Newway,Công ty Cổ phần Vận tải Newway,UPX
747,NVT,HSX,STOCK,Ninh Vân Bay,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,STO
748,NVP,UPCOM,STOCK,Nước sạch Vĩnh Phúc,Công ty Cổ phần Nước sạch Vĩnh Phúc,UPX
749,NVL,HSX,STOCK,Novaland,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,STO
750,NVB,HNX,STOCK,Ngân hàng Quốc Dân,Ngân hàng Thương mại Cổ phần Quốc Dân,STX
751,NUE,UPCOM,STOCK,Môi trường Đô thị Nha Trang,Công ty Cổ phần Môi trường Đô thị Nha Trang,UPX
752,NTW,UPCOM,STOCK,Cấp nước Nhơn Trạch,Công ty Cổ phần Cấp nước Nhơn Trạch,UPX
753,NTT,UPCOM,STOCK,Dệt - May Nha Trang,Công ty Cổ phần Dệt - May Nha Trang,UPX
754,NTP,HNX,STOCK,Nhựa Tiền Phong,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong,STX
755,NTL,HSX,STOCK,Đô thị Từ Liêm,Công ty Cổ phần Phát triển Đô thị Từ Liêm,STO
756,NTH,HNX,STOCK,Thủy điện Nước Trong,Công ty Cổ phần Thủy điện Nước Trong,STX
757,NTF,UPCOM,STOCK,Dược Nghệ An,Công ty Cổ phần Dược - Vật tư y tế Nghệ An,UPX
758,NTC,DELISTED,STOCK,KCN Nam Tân Uyên,Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên,UPX
759,NTB,UPCOM,STOCK,Công trình giao thông 584,Công ty Cổ phần Đầu tư Xây dựng và Khai thác Công trình giao thông 584,UPX
760,NT2,HSX,STOCK,Điện lực Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,STO
761,NST,HNX,STOCK,Thuốc lá Ngân Sơn,Công ty Cổ phần Ngân Sơn,STX
762,NSS,UPCOM,STOCK,Nông súc sản Đồng Nai,Công ty Cổ phần Nông súc sản Đồng Nai,UPX
763,NSL,UPCOM,STOCK,Cấp nước Sơn La,Công ty Cổ phần Cấp nước Sơn La,UPX
764,NSH,HNX,STOCK,Nhôm Sông Hồng,Công ty Cổ phần Tập đoàn Nhôm Sông Hồng Shalumi,STX
765,NSG,UPCOM,STOCK,Nhựa Sài Gòn,Công ty Cổ phần Nhựa Sài Gòn,UPX
766,NSC,HSX,STOCK,Tập đoàn Giống cây trồng Việt Nam,Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam,STO
767,NS3,DELISTED,STOCK,Nước sạch số 3 Hà Nội,Công ty Cổ phần Sản xuất Kinh doanh Nước sạch số 3 Hà Nội,
768,NS2,UPCOM,STOCK,Nước sạch số 2 Hà Nội,Công ty Cổ phần Nước sạch số 2 Hà Nội,UPX
769,NRC,HNX,STOCK,Tập đoàn NRC,Công ty Cổ phần Tập đoàn NRC,STX
770,NQT,DELISTED,STOCK,Nước sạch Quảng Trị,Công ty Cổ phần Nước sạch Quảng Trị,UPX
771,NQN,UPCOM,STOCK,Nước sạch Quảng Ninh,Công ty Cổ phần Nước sạch Quảng Ninh,UPX
772,NQB,UPCOM,STOCK,Cấp nước Quảng Bình,Công ty Cổ phần Cấp nước Quảng Bình,UPX
773,NOS,UPCOM,STOCK,Vận tải Biển và Thương mại Phương Đông,Công ty Cổ phần Vận tải Biển và Thương mại Phương Đông,UPX
774,NO1,HSX,STOCK,Tâp đoàn 911,Công ty Cổ phần Tâp đoàn 911,STO
775,NNT,UPCOM,STOCK,Cấp nước Ninh Thuận,Công ty Cổ phần Cấp nước Ninh Thuận,UPX
776,NNQ,DELISTED,STOCK,,,
777,NNG,DELISTED,STOCK,CN - DV - TM Ngọc Nghĩa,Công ty Cổ phần Công nghiệp - Dịch vụ - Thương mại Ngọc Nghĩa,
778,NNC,HSX,STOCK,Đá Núi Nhỏ,Công ty Cổ phần Đá Núi Nhỏ,STO
779,NLS,UPCOM,STOCK,Cấp thoát nước Lạng Sơn,Công ty Cổ phần Cấp thoát nước Lạng Sơn,UPX
780,NLG,HSX,STOCK,BĐS Nam Long,Công ty Cổ phần Đầu tư Nam Long,STO
781,NKG,HSX,STOCK,Thép Nam Kim,Công ty Cổ phần Thép Nam Kim,STO
782,NJC,UPCOM,STOCK,May Nam Định,Công ty Cổ phần May Nam Định,UPX
783,NHV,UPCOM,STOCK,Đầu tư NHV,Công ty Cổ phần Sức khỏe Hồi sinh Việt Nam,UPX
784,NHT,HSX,STOCK,Sản xuất và Thương mại Nam Hoa,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,STO
785,NHP,UPCOM,STOCK,Sản xuất XNK NHP,Công ty Cổ phần Sản xuất Xuất nhập khẩu NHP,UPX
786,NHH,HSX,STOCK,Nhựa Hà Nội,Công ty Cổ phần Nhựa Hà Nội,STO
787,NHC,HNX,STOCK,Gạch ngói Nhị Hiệp,Công ty Cổ phần Gạch ngói Nhị Hiệp,STX
788,NHA,HSX,STOCK,PT Nhà và Đô thị Nam HN,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,STO
789,NGC,UPCOM,STOCK,Thủy sản Ngô Quyền,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Ngô Quyền,UPX
790,NFC,HNX,STOCK,Phân lân Ninh Bình,Công ty Cổ phần Phân lân Ninh Bình,STX
791,NET,HNX,STOCK,Bột giặt Net,Công ty Cổ phần Bột giặt Net,STX
792,NEM,DELISTED,STOCK,Thiết bị Điện Miền Bắc,Công ty Cổ phần Thiết bị Điện Miền Bắc,UPX
793,NED,UPCOM,STOCK,Phát triển Điện Tây Bắc,Công ty Cổ phần Đầu tư và Phát triển Điện Tây Bắc,UPX
794,NDX,HNX,STOCK,Phát triển Nhà Đà Nẵng,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,STX
795,NDW,UPCOM,STOCK,Cấp nước Nam Định,Công ty Cổ phần Cấp nước Nam Định,UPX
796,NDT,UPCOM,STOCK,Dệt may Nam Định,Tổng Công ty Cổ phần Dệt may Nam Định,UPX
797,NDP,UPCOM,STOCK,Dược phẩm 2/9,Công ty Cổ phần Dược phẩm 2/9,UPX
798,NDN,HNX,STOCK,PT Nhà Đà Nẵng,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,STX
799,NDF,UPCOM,STOCK,Nông sản XK Nam Định,Công ty Cổ phần Chế biến thực phẩm nông sản xuất khẩu Nam Định,UPX
800,NDC,UPCOM,STOCK,Dược phẩm Nam Dược,Công ty Cổ phần Nam Dược,UPX
801,ND2,UPCOM,STOCK,Đầu tư và PT điện Miền Bắc 2,Công ty Cổ phần Đầu tư và Phát triển điện Miền Bắc 2,UPX
802,NCT,HSX,STOCK,DV Hàng hóa Nội Bài,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,STO
803,NCS,UPCOM,STOCK,Suất ăn Hàng không Nội Bài,Công ty Cổ phần Suất ăn Hàng không Nội Bài,UPX
804,NCG,UPCOM,STOCK,Nova Consumer,Công ty Cổ phần Tập đoàn Nova Consumer,UPX
805,NBW,HNX,STOCK,Cấp nước Nhà Bè,Công ty Cổ phần Cấp nước Nhà Bè,STX
806,NBT,UPCOM,STOCK,Cấp thoát nước Bến Tre,Công ty Cổ phần Cấp thoát nước Bến Tre,UPX
807,NBP,HNX,STOCK,Nhiệt điện Ninh Bình,Công ty Cổ phần Nhiệt Điện Ninh Bình,STX
808,NBE,UPCOM,STOCK,Sách và Thiết bị GD Miền Bắc,Công ty Cổ phần Sách và Thiết bị Giáo dục Miền Bắc,UPX
809,NBC,HNX,STOCK,Than Núi Béo,Công ty Cổ phần Than Núi Béo - Vinacomin,STX
810,NBB,HSX,STOCK,577 CORP,Công ty Cổ phần Đầu tư Năm Bảy Bảy,STO
811,NAW,UPCOM,STOCK,Cấp nước Nghệ An,Công ty Cổ phần Cấp nước Nghệ An,UPX
812,NAV,HSX,STOCK,Tấm lợp và gỗ Nam Việt,Công ty Cổ phần Nam Việt,STO
813,NAU,UPCOM,STOCK,Công trình Đô thị Nghệ An,Công ty Cổ phần Môi trường và Công trình Đô thị Nghệ An,UPX
814,NAS,UPCOM,STOCK,DV Hàng không SB Việt Nam,Công ty Cổ phần Dịch vụ Hàng không Sân bay Việt Nam,UPX
815,NAP,HNX,STOCK,Cảng Nghệ Tĩnh,Công ty Cổ phần Cảng Nghệ Tĩnh,STX
816,NAG,HNX,STOCK,Tập đoàn Nagakawa,Công ty Cổ phần Tập đoàn Nagakawa,STX
817,NAF,HSX,STOCK,Nafoods Group,Công ty Cổ phần Nafoods Group,STO
818,NAC,UPCOM,STOCK,Tư vấn xây dựng Tổng hợp,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp,UPX
819,NAB,HSX,STOCK,Ngân hàng Nam Á,Ngân hàng Thương mại Cổ phần Nam Á,STO
820,MZG,UPCOM,STOCK,Miza Corp,Công ty Cổ Phần Miza,UPX
821,MXC,DELISTED,STOCK,,,
822,MWG,HSX,STOCK,Thế giới di động,Công ty Cổ phần Đầu tư Thế Giới Di Động,STO
823,MVN,UPCOM,STOCK,TCT Hàng hải Việt Nam,Tổng Công ty Hàng hải Việt Nam - CTCP,UPX
824,MVC,UPCOM,STOCK,VL và XD Bình Dương,Công ty Cổ phần Vật liệu và Xây dựng Bình Dương,UPX
825,MVB,HNX,STOCK,Mỏ Việt Bắc - TKV,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - Công ty Cổ phần,STX
826,MTX,DELISTED,STOCK,Công Trình Đô Thị Gò Công,Công ty Cổ phần Công trình Đô thị Gò Công,UPX
827,MTV,UPCOM,STOCK,Công trình đô thị Vũng Tàu,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,UPX
828,MTS,UPCOM,STOCK,Vật tư - TKV,Công ty Cổ phần Vật tư - TKV,UPX
829,MTP,UPCOM,STOCK,Dược Medipharco,Công ty Cổ phần Dược Medipharco,UPX
830,MTL,UPCOM,STOCK,Môi trường Đô thị Từ Liêm,Công ty Cổ phần Dịch vụ Môi trường Đô thị Từ Liêm,UPX
831,MTH,UPCOM,STOCK,Môi trường Đô thị Hà Đông,Công ty Cổ phần Môi trường Đô thị Hà Đông,UPX
832,MTG,UPCOM,STOCK,MTGAS,Công ty Cổ phần MT Gas,UPX
833,MTC,DELISTED,STOCK,Dịch Vụ Du Lịch Mỹ Trà,Công ty Cổ phần Dịch vụ Du lịch Mỹ Trà,UPX
834,MTB,UPCOM,STOCK,Công trình đô thị tỉnh Thái Bình,Công ty Cổ phần Môi trường và Công trình đô thị tỉnh Thái Bình,UPX
835,MTA,UPCOM,STOCK,Khoáng sản và TM Hà Tĩnh,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - Công ty Cổ phần,UPX
836,MST,HNX,STOCK,Đầu tư MST,Công ty Cổ phần Đầu tư MST,STX
837,MSR,UPCOM,STOCK,Masan High-Tech Materials,Công ty Cổ phần Masan High-Tech Materials,UPX
838,MSN,HSX,STOCK,Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,STO
839,MSH,HSX,STOCK,May Sông Hồng,Công ty Cổ phần May Sông Hồng,STO
840,MSB,HSX,STOCK,MSB Bank,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,STO
841,MRF,UPCOM,STOCK,Cao su y tế MERUFA,Công ty Cổ phần MERUFA,UPX
842,MQN,UPCOM,STOCK,Môi trường đô thị Quảng Ngãi,Công ty Cổ phần Môi trường đô thị Quảng Ngãi,UPX
843,MQB,UPCOM,STOCK,Môi trường và PT đô thị Quảng Bình,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,UPX
844,MPY,UPCOM,STOCK,Môi trường đô thị Phú Yên,Công ty Cổ phần Môi trường đô thị Phú Yên,UPX
845,MPT,UPCOM,STOCK,Tập đoàn MPT,Công ty Cổ phần Tập đoàn MPT,UPX
846,MPC,UPCOM,STOCK,Thủy sản Minh Phú,Công ty Cổ phần Tập đoàn Thủy sản Minh Phú,UPX
847,MND,UPCOM,STOCK,Môi trường Nam Định,Công ty Cổ phần Môi trường Nam Định,UPX
848,MNB,UPCOM,STOCK,May Nhà Bè,Tổng Công ty May Nhà Bè - Công ty Cổ phần,UPX
849,MML,UPCOM,STOCK,Masan MEATLife,Công ty Cổ phần Masan MEATLife,UPX
850,MLS,UPCOM,STOCK,Chăn nuôi Mitraco,Công ty Cổ phần Chăn nuôi - Mitraco,UPX
851,MLC,UPCOM,STOCK,Môi trường Đô thị Tỉnh Lào Cai,Công ty Cổ phần Môi trường Đô thị Tỉnh Lào Cai,UPX
852,MKV,HNX,STOCK,Dược Thú Y Cai Lậy,Công ty Cổ phần Dược Thú Y Cai Lậy,STX
853,MKP,UPCOM,STOCK,Dược phẩm Mekophar,Công ty Cổ phần Hóa - Dược phẩm Mekophar,UPX
854,MIM,UPCOM,STOCK,Khoáng sản và Cơ khí,Công ty Cổ phần Khoáng sản và Cơ khí,UPX
855,MIG,HSX,STOCK,Bảo hiểm Quân đội,Tổng Công ty Cổ phần Bảo hiểm Quân đội,STO
856,MIE,UPCOM,STOCK,Máy và Thiết bị Công nghiệp,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,UPX
857,MIC,HNX,STOCK,Khoáng sản Quảng Nam,Công ty Cổ phần Kỹ nghệ Khoáng sản Quảng Nam,STX
858,MHL,UPCOM,STOCK,Minh Hữu Liên,Công ty Cổ phần Minh Hữu Liên,UPX
859,MHC,HSX,STOCK,CTCP MHC,Công ty Cổ phần MHC,STO
860,MH3,UPCOM,STOCK,KCN Cao su Bình Long,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,UPX
861,MGR,UPCOM,STOCK,Tập đoàn MGROUP,Công ty cổ phần Tập đoàn MGROUP,UPX
862,MGG,UPCOM,STOCK,May Đức Giang,Tổng Công ty Đức Giang - Công ty Cổ phần,UPX
863,MGC,UPCOM,STOCK,Địa chất mỏ - TKV,Công ty Cổ phần Địa chất mỏ - TKV,UPX
864,MFS,UPCOM,STOCK,Mobifone Service,Công ty Cổ phần Dịch vụ kỹ thuật Mobifone,UPX
865,MES,UPCOM,STOCK,Cơ điện Công trình,Công ty Cổ phần Cơ điện Công trình,UPX
866,MEL,HNX,STOCK,Thép Mê Lin,Công ty Cổ phần Thép Mê Lin,STX
867,MEG,DELISTED,STOCK,Công ty Megram,Công ty Cổ phần Megram,
868,MEF,UPCOM,STOCK,MEINFA,Công ty Cổ phần MEINFA,UPX
869,MED,HNX,STOCK,Dược Mediplantex,Công ty Cổ phần Dược Trung ương Mediplantex,STX
870,MEC,UPCOM,STOCK,Lắp máy Sông Đà,Công ty Cổ phần Cơ khí - Lắp máy Sông Đà,UPX
871,MDG,HSX,STOCK,Xây dựng Miền Đông,Công ty Cổ phần Miền Đông,STO
872,MDF,UPCOM,STOCK,Gỗ MDF VRG - Quảng Trị,Công ty Cổ phần Gỗ MDF VRG - Quảng Trị,UPX
873,MDC,HNX,STOCK,Than Mông Dương,Công ty Cổ phần Than Mông Dương - Vinacomin,STX
874,MDA,UPCOM,STOCK,Môi trường Đô thị Đông Anh,Công ty Cổ phần Môi trường Đô thị Đông Anh,UPX
875,MCP,HSX,STOCK,In và Bao bì Mỹ Châu,Công ty Cổ phần In và Bao bì Mỹ Châu,STO
876,MCO,HNX,STOCK,BDC Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng BDC Việt Nam,STX
877,MCM,HSX,STOCK,Giống bò sữa Mộc Châu,Công ty Cổ phần Giống bò sữa Mộc Châu,STO
878,MCI,DELISTED,STOCK,Đầu tư Xây dựng và Phát triển Vật liệu IDICO,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Vật liệu IDICO,
879,MCH,UPCOM,STOCK,Hàng Tiêu Dùng MaSan,Công ty Cổ phần Hàng Tiêu Dùng MaSan,UPX
880,MCG,UPCOM,STOCK,Năng lượng và Bất động sản MCG,Công ty Cổ phần Năng lượng và Bất động sản MCG,UPX
881,MCF,HNX,STOCK,Cơ khí và Lương thực Thực phẩm,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,STX
882,MCD,DELISTED,STOCK,Môi trường và Đô thị Đông Hà,Công ty Cổ phần Môi trường và Công trình Đô thị Đông Hà,
883,MCC,HNX,STOCK,Gạch ngói cao cấp,Công ty Cổ phần Gạch ngói cao cấp,STX
884,MC3,DELISTED,STOCK,Khoáng sản 3 - Vimico,Công ty Cổ phần Khoáng sản 3 - Vimico,
885,MBT,UPCOM,STOCK,BĐS cho thuê Minh Bảo Tín,Công ty Cổ phần Bất động sản cho thuê Minh Bảo Tín,UPX
886,MBS,HNX,STOCK,Chứng khoán MB,Công ty Cổ phần Chứng khoán MB,STX
887,MBN,UPCOM,STOCK,Môi trường và Công trình ĐT Bắc Ninh,Công ty Cổ phần Môi trường và Công trình đô thị Bắc Ninh,UPX
888,MBG,HNX,STOCK,Tập đoàn MBG,Công ty Cổ phần Tập đoàn MBG,STX
889,MBB,HSX,STOCK,MBBank,Ngân hàng Thương mại Cổ phần Quân đội,STO
890,MAS,HNX,STOCK,Sân bay Đà Nẵng,Công ty cổ phần Dịch vụ Hàng Không Sân Bay Đà Nẵng,STX
891,MAC,HNX,STOCK,Tập đoàn Macstar,Công ty Cổ phần Tập đoàn Macstar,STX
892,MA1,UPCOM,STOCK,MACHINCO1,Công ty Cổ phần Thiết bị,UPX
893,M10,UPCOM,STOCK,Tổng công ty May 10,Tổng công ty May 10 - Công ty Cổ phần,UPX
894,LYF,DELISTED,STOCK,Công ty Lương Thực Lương Yên,Công ty Cổ phần Lương Thực Lương Yên,
895,LWS,DELISTED,STOCK,Cấp nước Lào Cai,Công ty Cổ phần Cấp nước Tỉnh Lào Cai,
896,LUT,UPCOM,STOCK,Đầu tư Xây dựng Lương Tài,Công ty Cổ phần Đầu tư Xây dựng Lương Tài,UPX
897,LTG,UPCOM,STOCK,Tập đoàn Lộc Trời (BVTV An Giang),Công ty Cổ phần Tập đoàn Lộc Trời,UPX
898,LTC,UPCOM,STOCK,Điện nhẹ Viễn thông,Công ty Cổ phần Điện nhẹ Viễn Thông,UPX
899,LSS,HSX,STOCK,Mía đường Lam Sơn,Công ty Cổ phần Mía đường Lam Sơn,STO
900,LSG,UPCOM,STOCK,BĐS Sài Gòn Vina,Công ty Cổ phần Bất động sản Sài Gòn Vi na,UPX
901,LQN,UPCOM,STOCK,Licogi Quảng Ngãi,Công ty Cổ phần Licogi Quảng Ngãi,UPX
902,LPT,UPCOM,STOCK,TM và SX Lập Phương Thành,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành,UPX
903,LPB,HSX,STOCK,LPBank,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,STO
904,LO5,UPCOM,STOCK,LILAMA 5,Công ty Cổ phần Lilama 5,UPX
905,LNC,UPCOM,STOCK,Lệ Ninh - Quảng Bình,Công ty Cổ phần Lệ Ninh,UPX
906,LMI,UPCOM,STOCK,Lắp máy IDICO,Công ty Cổ phần Đầu tư Xây dựng Lắp máy IDICO,UPX
907,LMH,UPCOM,STOCK,CTCP Quốc Tế Holding,Công ty Cổ phần Quốc Tế Holding,UPX
908,LMC,UPCOM,STOCK,Khoáng sản LATCA,Công ty Cổ phần Long Beach LMC,UPX
909,LM8,HSX,STOCK,LILAMA 18,Công ty Cổ phần Lilama 18,STO
910,LM7,UPCOM,STOCK,LILAMA 7,Công ty Cổ phần Lilama 7,UPX
911,LM3,UPCOM,STOCK,Lilama 3,Công ty Cổ phần Lilama 3,UPX
912,LLM,UPCOM,STOCK,LILAMA,Tổng Công ty lắp máy Việt Nam - Công ty Cổ phần,UPX
913,LKW,UPCOM,STOCK,Cấp nước Long Khánh,Công ty Cổ phần Cấp nước Long Khánh,UPX
914,LIX,HSX,STOCK,Bột Giặt LIX,Công ty Cổ phần Bột Giặt LIX,STO
915,LIG,HNX,STOCK,Licogi 13,Công ty Cổ phần Licogi 13,STX
916,LIC,UPCOM,STOCK,LICOGI,Tổng Công ty LICOGI - Công ty Cổ phần,UPX
917,LHG,HSX,STOCK,KCN Long Hậu,Công ty Cổ phần Long Hậu,STO
918,LHC,HNX,STOCK,XD Thủy lợi Lâm Đồng,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,STX
919,LGM,DELISTED,STOCK,Giày da và may mặc XK (Legamex),Công ty Cổ phần Giày da và May mặc Xuất khẩu (Legamex),UPX
920,LGL,HSX,STOCK,Long Giang Land,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,STO
921,LGC,HSX,STOCK,Đầu tư Cầu đường CII,Công ty Cổ phần Đầu tư Cầu đường CII,STO
922,LG9,UPCOM,STOCK,Cơ giới và XL số 9 (Licogi 9),Công ty Cổ phần Cơ giới và Xây lắp số 9,UPX
923,LEC,UPCOM,STOCK,BĐS Điện lực Miền Trung,Công ty Cổ phần Bất động sản Điện lực Miền Trung,UPX
924,LDW,UPCOM,STOCK,Cấp thoát nước Lâm Đồng,Công ty Cổ phần Cấp thoát nước Lâm Đồng,UPX
925,LDP,HNX,STOCK,Dược Lâm Đồng - Ladophar,Công ty Cổ phần Dược Lâm Đồng - Ladophar,STX
926,LDG,HSX,STOCK,Đầu tư LDG,Công ty Cổ phần Đầu tư LDG,STO
927,LCW,DELISTED,STOCK,Nước sạch Lai Châu,Công ty Cổ phần Nước sạch Lai Châu,
928,LCS,UPCOM,STOCK,Licogi 16.6,Công ty Cổ phần Licogi 16.6,UPX
929,LCM,UPCOM,STOCK,Khoáng sản Lào Cai,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Lào Cai,UPX
930,LCG,HSX,STOCK,LIZEN,Công ty Cổ phần Lizen,STO
931,LCD,HNX,STOCK,Thí nghiệm cơ điện,Công ty Cổ phần Lắp máy - Thí nghiệm cơ điện,STX
