,symbol,exchange,type,organ_short_name,organ_name,product_grp_id
534,SBH,UPCOM,STOCK,Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,UPX
535,SBG,HSX,STOCK,Tập Đoàn Cơ Khí Công Nghệ Cao Siba,Công ty Cổ Phần Tập Đoàn Cơ Khí Công Nghệ Cao Siba,STO
536,SBD,UPCOM,STOCK,Công nghệ Sao Bắc Đẩu,Công ty Cổ phần Công nghệ Sao Bắc Đẩu,UPX
537,SBB,UPCOM,STOCK,Bia Sài Gòn Bình Tây,Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,UPX
538,SBA,HSX,STOCK,Sông Ba JSC,Công ty Cổ phần Sông Ba,STO
539,SB1,UPCOM,STOCK,Bia Sài Gòn - Nghệ Tĩnh,Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,UPX
540,SAV,HSX,STOCK,Savimex,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex,STO
541,SAS,UPCOM,STOCK,DV Hàng không sân bay TSN,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,UPX
542,SAP,UPCOM,STOCK,In Sách TP.HCM,Công ty Cổ phần In Sách Giáo khoa TP.Hồ Chí Minh,UPX
543,SAM,HSX,STOCK,SAM Holdings,Công ty Cổ phần SAM Holdings,STO
544,SAL,UPCOM,STOCK,Trục vớt Cứu hộ Việt Nam,Công ty Cổ phần Trục vớt Cứu hộ Việt Nam,UPX
545,SAF,HNX,STOCK,Thực Phẩm SAFOCO,Công ty Cổ phần Lương thực Thực phẩm SAFOCO,STX
546,SAC,UPCOM,STOCK,Dịch vụ cảng Sài Gòn,Công ty Cổ phần Xếp dỡ và Dịch vụ cảng Sài Gòn,UPX
547,SAB,HSX,STOCK,SABECO,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,STO
548,S99,HNX,STOCK,Sông Đà 9.09 (SCI),Công ty Cổ phần SCI,STX
549,S96,UPCOM,STOCK,Sông Đà 9.06,Công ty Cổ phần Sông Đà 9.06,UPX
550,S74,UPCOM,STOCK,Sông Đà 7.04,Công ty Cổ phần Sông Đà 7.04,UPX
551,S72,UPCOM,STOCK,Sông Đà 7.02,Công ty Cổ phần Sông Đà 7.02,UPX
552,S55,HNX,STOCK,Sông Đà 505,Công ty Cổ phần Sông Đà 505,STX
553,S4A,HSX,STOCK,Thủy điện Sê San 4A,Công ty Cổ phần Thủy điện Sê San 4A,STO
554,S27,UPCOM,STOCK,Sông Đà 27,Công ty Cổ phần Sông Đà 27,UPX
555,S12,UPCOM,STOCK,Sông Đà 12,Công ty Cổ phần Sông Đà 12,UPX
556,RYG,HSX,STOCK,Sản xuất và Đầu tư Hoàng Gia,Công ty Cổ phần Sản xuất và Đầu tư Hoàng Gia,STO
557,RTB,UPCOM,STOCK,Cao su Tân Biên,Công ty Cổ phần Cao su Tân Biên,UPX
558,ROS,DELISTED,STOCK,Xây dựng FLC FAROS,Công ty Cổ phần Xây dựng FLC FAROS,
559,RIC,UPCOM,STOCK,Quốc tế Hoàng Gia,Công ty Cổ phần Quốc Tế Hoàng Gia,UPX
560,RGC,DELISTED,STOCK,Đầu tư PV-Inconess,Công ty Cổ phần Đầu tư PV-Inconess,
561,REE,HSX,STOCK,Cơ Điện Lạnh REE,Công ty Cổ phần Cơ điện Lạnh,STO
562,RDP,UPCOM,STOCK,Nhựa Rạng Đông,Công ty Cổ phần Rạng Đông Holding,UPX
563,RCL,HNX,STOCK,Địa Ốc Chợ Lớn,Công ty Cổ phần Địa ốc Chợ Lớn,STX
564,RCD,UPCOM,STOCK,XD - Địa ốc Cao su,Công ty Cổ phần Xây dựng - Địa ốc Cao su,UPX
565,RCC,UPCOM,STOCK,Công trình Đường sắt Việt Nam,Công ty Cổ phần Tổng Công ty Công trình Đường sắt Việt Nam,UPX
566,RBC,UPCOM,STOCK,Công Nghiệp và Xuất nhập khẩu Cao Su,Công ty Cổ phần Công Nghiệp và Xuất nhập khẩu Cao Su,UPX
567,RAT,UPCOM,STOCK,VT và TM Đường sắt,Công ty Cổ phần Vận tải và Thương mại Đường sắt,UPX
568,RAL,HSX,STOCK,Bóng đèn Phích nước Rạng Đông,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,STO
569,QTP,UPCOM,STOCK,Nhiệt điện Quảng Ninh,Công ty Cổ phần Nhiệt điện Quảng Ninh,UPX
570,QTC,HNX,STOCK,GTVT Quảng Nam,Công ty Cổ phần Công trình Giao thông Vận tải Quảng Nam,STX
571,QST,HNX,STOCK,Sách Quảng Ninh,Công ty Cổ phần Sách và Thiết bị trường học Quảng Ninh,STX
572,QSP,UPCOM,STOCK,Tân cảng Quy Nhơn,Công ty Cổ phần Tân cảng Quy Nhơn,UPX
573,QPH,UPCOM,STOCK,Thủy điện Quế Phong,Công ty Cổ phần Thủy điện Quế Phong,UPX
